,Paragraph
197,"Von der Amphibolie der Reflexionsbegriffe
durch die Verwechslung des empirischen Verstandesgebrauchs mit dem
transzendentalen."
198,"Die Überlegung (reflexio) hat es nicht mit den Gegenständen selbst
zu tun, um geradezu von ihnen Begriffe zu bekommen, sondern ist der
Zustand des Gemüts, in welchem wir uns zuerst dazu anschicken, um
die subjektiven Bedingungen ausfindig zu machen, unter denen wir zu
Begriffen gelangen können. Sie ist das Bewußtsein des Verhältnisses
gegebener Vorstellungen zu unseren verschiedenen Erkenntnisquellen,
durch welches allein ihr Verhältnis untereinander richtig bestimmt
werden kann. Die erste Frage vor aller weiteren Behandlung unserer
Vorstellung ist die: in welchem Erkenntnisvermögen gehören sie
zusammen? Ist es der Verstand, oder sind es die Sinne, vor denen sie
verknüpft, oder verglichen werden? Manches Urteil wird aus Gewohnheit
angenommen, oder durch Neigung geknüpft; weil aber keine Überlegung
vorhergeht, oder wenigstens kritisch darauf folgt, so gilt es für ein
solches, das im Verstande seinen Ursprung erhalten hat. Nicht alle
Urteile bedürfen einer Untersuchung, d.i.# einer Aufmerksamkeit auf
die Gründe der Wahrheit; denn, wenn sie unmittelbar gewiß sind: z.B.
zwischen zwei Punkten kann nur eine gerade Linie sein; so läßt sich
von ihnen kein noch näheres Merkmal der Wahrheit, als das sie selbst
ausdrücken, anzeigen. Aber alle Urteile, ja alle Vergleichungen
bedürfen einer Überlegung, d.i.# einer Unterscheidung der
Erkenntniskraft, wozu die gegebenen Begriffe gehören. Die Handlung,
dadurch ich die Vergleichung der Vorstellungen überhaupt mit der
Erkenntniskraft zusammenhalte, darin sie angestellt wird, und wodurch
ich unterscheide, ob sie als zum reinen Verstande oder zur sinnlichen
Anschauung gehörend untereinander verglichen werden, nenne ich die
transzendentale Überlegung. Das Verhältnis aber, in welchem die
Begriffe in einem Gemütszustande zueinander gehören können, sind
die der Einerleiheit und Verschiedenheit, der Einstimmung und des
Widerstreits, des Inneren und des Äußeren, endlich des Bestimmbaren
und der Bestimmung (Materie und Form). Die richtige Bestimmung dieses
Verhältnisses beruht darauf, in welcher Erkenntniskraft sie subjektiv
zueinander gehören, ob in der Sinnlichkeit oder dem Verstande. Denn
der Unterschied der letzteren macht einen großen Unterschied in der
Art, wie man sich die ersten denken solle."
199,"Vor allen objektiven Urteilen vergleichen wir die Begriffe, um auf die
Einerleiheit (vieler Vorstellungen unter einem Begriffe) zum Behuf
der allgemeinen Urteile, oder der Verschiedenheit derselben, zur
Erzeugung besonderer, auf die Einstimmung, daraus bejahende, und
den Widerstreit, daraus verneinende Urteile werden können usw. Aus
diesem Grunde sollten wir, wie es scheint, die angeführten Begriffe
Vergleichungsbegriffe nennen (conceptus comparationis). Weil aber,
wenn es nicht auf die logische Form, sondern auf den Inhalt der
Begriffe ankommt, d.i.# ob die Dinge selbst einerlei oder verschieden,
einstimmig oder im Widerstreit sind usw., die Dinge ein zwiefaches
Verhältnis zu unserer Erkenntniskraft, nämlich zur Sinnlichkeit und
zum Verstande haben können, auf diese Stelle aber, darin sie gehören,
die Art ankommt, wie sie zueinander gehören sollen: so wird die
transzendentale Reflexion, d.i.# das Verhältnis gegebener Vorstellungen
zu einer oder der anderen Erkenntnisart, ihr Verhältnis untereinander
allein bestimmen können, und ob die Dinge einerlei oder verschieden,
einstimmig oder widerstreitend sind usw., wird nicht sofort aus den
Begriffen selbst durch bloße Vergleichung (comparatio), sondern
allererst durch die Unterscheidung der Erkenntnisart, wozu sie
gehören, vermittelst einer transzendentalen Überlegung (reflexio)
ausgemacht werden können. Man könnte also zwar sagen: daß die logische
Reflexion eine bloße Komparation sei, denn bei ihr wird von der
Erkenntniskraft, wozu die gegebenen Vorstellungen gehören, gänzlich
abstrahiert, und sie sind also so fern ihrem Sitze nach, im Gemüte,
als gleichartig zu behandeln, die transzendentale Reflexion
aber (welche auf die Gegenstände selbst geht) enthält den Grund
der Möglichkeit der objektiven Komparation der Vorstellungen
untereinander, und ist also von der letzteren gar sehr verschieden,
weil die Erkenntniskraft, dazu sie gehören, nicht eben dieselbe ist.
Diese transzendentale Überlegung ist eine Pflicht, von der sich
niemand lossagen kann, wenn er a priori etwas über Dinge urteilen
will. Wir wollen sie jetzt zur Hand nehmen, und werden daraus für die
Bestimmung des eigentlichen Geschäfts des Verstandes nicht wenig Licht
ziehen."
200,"Einerleiheit und Verschiedenheit. Wenn uns ein Gegenstand
mehrmalen, jedesmal aber mit ebendenselben inneren Bestimmungen,
(qualitas et quantitas) dargestellt wird, so ist derselbe, wenn er
als Gegenstand des reinen Verstandes gilt, immer eben derselbe, und
nicht viel, sondern nur Ein Ding (numerica identitas); ist er aber
Erscheinung, so kommt es auf die Vergleichung der Begriffe gar nicht
an, sondern, so sehr auch in Ansehung derselben alles einerlei sein
mag, ist doch die Verschiedenheit der Oerter dieser Erscheinung zu
gleicher Zeit ein genugsamer Grund der numerischen Verschiedenheit des
Gegenstandes (der Sinne) selbst. So kann man bei zwei Tropfen Wasser
von aller inneren Verschiedenheit (der Qualität und Quantität) völlig
abstrahieren, und es ist genug, daß sie in verschiedenen Örtern
zugleich angeschaut werden, um sie numerisch verschieden zu halten.
Leibniz nahm die Erscheinungen als Dinge an sich selbst, mithin
für intelligibilia, d.i.# Gegenstände des reinen Verstandes, (ob
er gleich, wegen der Verworrenheit ihrer Vorstellungen, dieselben
mit dem Namen der Phänomene belegte,) und da konnte sein Satz des
Nichtzuunterscheidenden (principium identitatis indiscernibilium)
allerdings nicht bestritten werden; da sie aber Gegenstände der
Sinnlichkeit sind, und der Verstand in Ansehung ihrer nicht von
reinem, sondern bloß empirischen Gebrauche ist, so wird die Vielheit
und numerische Verschiedenheit schon durch den Raum selbst als die
Bedingung der äußeren Erscheinungen angegeben. Denn ein Teil des
Raums, ob er zwar einem anderen völlig ähnlich und gleich sein mag,
ist doch außer ihm, und eben dadurch ein vom ersteren verschiedener
Teil, der zu ihm hinzukommt, um einen größeren Raum auszumachen, und
dieses muß daher von allem, was in den mancherlei Stellen des Raums
zugleich ist, gelten, so sehr es sich sonsten auch ähnlich und gleich
sein mag."
201,"Einstimmung und Widerstreit. Wenn Realität nur durch den reinen
Verstand vorgestellt wird (realitas noumenon), so läßt sich zwischen
den Realitäten kein Widerstreit denken, d.i.# ein solches Verhältnis,
da sie in einem Subjekt verbunden einander ihre Folgen aufheben,
und 3-3=0 sei. Dagegen kann das Reale in der Erscheinung (realitas
phaenomenon) untereinander allerdings im Widerstreit sein, und vereint
in demselben Subjekt, eines die Folge des anderen ganz oder zum Teil
vernichten, wie zwei bewegende Kräfte in derselben geraden Linie,
sofern sie einen Punkt in entgegengesetzter Richtung entweder ziehen,
oder drücken, oder auch ein Vergnügen, was dem Schmerze die Wage hält."
202,"Das Innere und Äußere. An einem Gegenstande des reinen Verstandes
ist nur dasjenige innerlich, welches gar keine Beziehung (dem Dasein
nach) auf irgend etwas von ihm Verschiedenes hat. Dagegen sind die
inneren Bestimmungen einer substantia phaenomenon im Raume nichts als
Verhältnisse, und sie selbst ganz und gar ein Inbegriff von lauter
Relationen. Die Substanz im Raume können wir nur durch Kräfte, die in
demselben wirksam sind, entweder andere dahin zu treiben (Anziehung),
oder vom Eindringen in ihn abzuhalten (Zurückstoßung und
Undurchdringlichkeit); andere Eigenschaften kennen wir nicht, die den
Begriff von der Substanz, die im Raum erscheint, und die wir Materie
nennen, ausmachen. Als Objekt des reinen Verstandes muß jede Substanz
dagegen innere Bestimmungen und Kräfte haben, die auf die innere
Realität gehen. Allein was kann ich mir für innere Akzidenzen denken,
als diejenigen, so mein innerer Sinn mir darbietet? nämlich das, was
entweder selbst ein Denken, oder mit diesem analogisch ist. Daher
machte Leibniz aus allen Substanzen, weil er sie sich als Noumena
vorstellte, selbst aus den Bestandteilen der Materie, nachdem er
ihnen alles, was äußere Relation bedeuten mag, mithin auch die
Zusammensetzung, in Gedanken genommen hatte, einfache Subjekte mit
Vorstellungskräften begabt, mit einem Worte, Monaden."
203,"Materie und Form. Dieses sind zwei Begriffe, welche aller anderen
Reflexion zum Grunde gelegt werden, so sehr sind sie mit jedem
Gebrauch des Verstandes unzertrennlich verbunden. Der erstere bedeutet
das Bestimmbare überhaupt, der zweite dessen Bestimmung, (beides in
transzendentalem Verstande, da man von allem Unterschiede dessen, was
gegeben wird, und der Art, wie es bestimmt wird, abstrahiert). Die
Logiker nannten ehedem das Allgemeine die Materie, den spezifischen
Unterschied aber die Form. In jedem Urteile kann man die gegebenen
Begriffe logische Materie (zum Urteile), das Verhältnis derselben
(vermittelst der Copula) die Form des Urteils nennen. In jedem Wesen
sind die Bestandstücke desselben (essentialia) die Materie; die Art,
wie sie in einem Dinge verknüpft sind, die wesentliche Form. Auch
wurde in Ansehung der Dinge überhaupt unbegrenzte Realität als die
Materie aller Möglichkeit, Einschränkung derselben aber (Negation)
als diejenige Form angesehen, wodurch sich ein Ding vom anderen
nach transzendentalen Begriffen unterscheidet. Der Verstand nämlich
verlangt zuerst, daß etwas gegeben sei, (wenigstens im Begriffe,)
um es auf gewisse Art bestimmen zu können. Daher geht im Begriffe
des reinen Verstandes die Materie der Form vor, und Leibniz
nahm um deswillen zuerst Dinge an (Monaden) und innerlich eine
Vorstellungskraft derselben, um danach das äußere Verhältnis derselben
und die Gemeinschaft ihrer Zustände (nämlich der Vorstellungen) darauf
zu gründen. Daher waren Raum und Zeit, jener nur durch das Verhältnis
der Substanzen, diese durch die Verknüpfung der Bestimmungen derselben
untereinander, als Gründe und Folgen, möglich. So würde es auch in der
Tat sein müssen, wenn der reine Verstand unmittelbar auf Gegenstände
bezogen werden könnte, und wenn Raum und Zeit Bestimmungen der Dinge
an sich selbst wären. Sind es aber nur sinnliche Anschauungen, in
denen wir alle Gegenstände lediglich als Erscheinungen bestimmen, so
geht die Form der Anschauung (als eine subjektive Beschaffenheit der
Sinnlichkeit) vor aller Materie (den Empfindungen), mithin Raum und
Zeit vor allen Erscheinungen und allen datis der Erfahrung vorher,
und macht diese vielmehr allererst möglich. Der Intellektualphilosoph
konnte es nicht leiden: daß die Form vor den Dingen selbst
vorhergehen, und dieser ihre Möglichkeit bestimmen sollte; eine ganz
richtige Zensur, wenn er annahm, daß wir die Dinge anschauen, wie sie
sind, (obgleich mit verworrener Vorstellung). Da aber die sinnliche
Anschauung eine ganz besondere subjektive Bedingung ist, welche aller
Wahrnehmung a priori zum Grunde liegt, und deren Form ursprünglich
ist; so ist die Form für sich allein gegeben, und, weit gefehlt, daß
die Materie (oder die Dinge selbst, welche erschienen) zum Grunde
liegen sollte (wie man nach bloßen Begriffen urteilen müßte), so setzt
die Möglichkeit derselben vielmehr eine formale Anschauung (Zeit und
Raum) als gegeben voraus."
204,Anmerkung zur Amphibolie der Reflexionsbegriffe.
205,"Man erlaube mir, die Stelle, welche wir einem Begriffe entweder in der
Sinnlichkeit, oder im reinen Verstande erteilen, den transzendentalen
Ort zu nennen. Auf solche Weise wäre die Beurteilung dieser Stelle,
die jedem Begriffe nach Verschiedenheit seines Gebrauchs zukommt, und
die Anweisung nach Regeln, diesen Ort allen Begriffen zu bestimmen,
die transzendentale Topik; eine Lehre, die vor Erschleichungen des
reinen Verstandes und daraus entspringenden Blendwerken gründlich
bewahren würde, indem sie jederzeit unterschiede, welcher
Erkenntniskraft die Begriffe eigentlich angehören. Man kann einen
jeden Begriff, einen jeden Titel, darunter viele Erkenntnisse gehören,
einen logischen Ort nennen. Hierauf gründet sich die logische Topik
des Aristoteles, deren sich Schullehrer und Redner bedienen konnten,
um unter gewissen Titeln des Denkens nachzusehen, was sich am besten
für seine vorliegende Materie schickte, und darüber, mit einem Schein
von Gründlichkeit, zu vernünfteln, oder wortreich zu schwatzen."
206,"Die transzendentale Topik enthält dagegen nicht mehr, als die
angeführten vier Titel aller Vergleichung und Unterscheidung, die
sich dadurch von Kategorien unterscheiden, daß durch jene nicht der
Gegenstand, nach demjenigen, was seinen Begriff ausmacht, (Größe,
Realität,) sondern nur die Vergleichung der Vorstellungen, welche vor
dem Begriffe von Dingen vorhergeht, in aller ihrer Mannigfaltigkeit
dargestellt wird. Diese Vergleichung aber bedarf zuvörderst
einer Überlegung, d.i.# einer Bestimmung desjenigen Orts, wo die
Vorstellungen der Dinge, die verglichen werden, hingehören, ob sie der
reine Verstand denkt, oder die Sinnlichkeit in der Erscheinung gibt."
207,"Die Begriffe können logisch verglichen werden, ohne sich darum
zu bekümmern, wohin ihre Objekte gehören, ob als Noumena für den
Verstand, oder als Phänomena für die Sinnlichkeit. Wenn wir aber mit
diesen Begriffen zu den Gegenständen gehen wollen, so ist zuvörderst
transzendentale Überlegung nötig, für welche Erkenntniskraft sie
Gegenstände sein sollen, ob für den reinen Verstand, oder die
Sinnlichkeit. Ohne diese Überlegung mache ich einen sehr unsicheren
Gebrauch von diesen Begriffen, und es entspringen vermeinte
synthetische Grundsätze, welche die kritische Vernunft nicht
anerkennen kann, und die sich lediglich auf einer transzendentalen
Amphibolie, d.i.# einer Verwechslung des reinen Verstandesobjekts mit
der Erscheinung, gründen."
208,"In Ermanglung einer solchen transzendentalen Topik, und mithin durch
die Amphibolie der Reflexionsbegriffe hintergangen, errichtete der
berühmte Leibniz ein intellektuelles System der Welt, oder glaubte
vielmehr der Dinge innere Beschaffenheit zu erkennen, indem er alle
Gegenstände nur mit dem Verstande und den abgesonderten formalen
Begriffen seines Denkens verglich. Unsere Tafel der Reflexionsbegriffe
schafft uns den unerwarteten Vorteil, das Unterscheidende seines
Lehrbegriffs in allen seinen Teilen, und zugleich den leitenden Grund
dieser eigentümlichen Denkungsart vor Augen zu legen, der auf nichts,
als einem Mißverstande, beruhte. Er verglich alle Dinge bloß durch
Begriffe miteinander, und fand, wie natürlich, keine anderen
Verschiedenheiten, als die, durch welche der Verstand seine reinen
Begriffe voneinander unterscheidet. Die Bedingungen der sinnlichen
Anschauung, die ihre eigenen Unterschiede bei sich führen, sah
er nicht für ursprünglich an; denn die Sinnlichkeit war ihm nur
eine verworrene Vorstellungsart, und kein besonderer Quell der
Vorstellungen; Erscheinung war ihm die Vorstellung des Dinges an sich
selbst, obgleich von der Erkenntnis durch den Verstand, der logischen
Form nach, unterschieden, da nämlich jene, bei ihrem gewöhnlichen
Mangel der Zergliederung, eine gewisse Vermischung von
Nebenvorstellungen in den Begriff des Dinges zieht, die der Verstand
davon abzusondern weiß. Mit einem Worte: Leibniz intellektuierte die
Erscheinungen, so wie Locke die Verstandesbegriffe nach einem System
der Noogonie (wenn es mir erlaubt ist, mich dieser Ausdrücke zu
bedienen,) insgesamt sensifiziert, d.i.# für nichts, als empirische,
oder abgesonderte Reflexionsbegriffe ausgegeben hatte. Anstatt im
Verstande und der Sinnlichkeit zwei ganz verschiedene Quellen von
Vorstellungen zu suchen, die aber nur in Verknüpfung objektiv gültig
von Dingen urteilen könnten, hielt sich ein jeder dieser großen Männer
nur an eine von beiden, die sich ihrer Meinung nach unmittelbar auf
Dinge an sich selbst bezöge, indessen daß die andere nichts tat, als
die Vorstellungen der ersteren zu verwirren oder zu ordnen."
209,"Leibniz verglich demnach die Gegenstände der Sinne als Dinge überhaupt
bloß im Verstande untereinander. Erstlich, sofern sie von diesem
als einerlei oder verschieden geurteilt werden sollen. Da er also
lediglich ihre Begriffe, und nicht ihre Stelle in der Anschauung,
darin die Gegenstände allein gegeben werden können, vor Augen hatte,
und den transzendentalen Ort dieser Begriffe (ob das Objekt unter
Erscheinungen, oder unter Dinge an sich selbst zu zählen sei,)
gänzlich aus der acht ließ, so konnte es nicht anders ausfallen, als
daß er seinen Grundsatz des Nichtzuunterscheidenden, der bloß von
Begriffen der Dinge überhaupt gilt, auch auf die Gegenstände der Sinne
(mundus phaenomenon) ausdehnte, und der Naturerkenntnis dadurch keine
geringe Erweiterung verschafft zu haben glaubte. Freilich, wenn ich
einen Tropfen Wasser als ein Ding an sich selbst nach allen seinen
inneren Bestimmungen kenne, so kann ich keinen derselben von dem
anderen für verschieden gelten lassen, wenn der ganze Begriff
desselben mit ihm einerlei ist. Ist er aber Erscheinung im Raume, so
hat er seinen Ort nicht bloß im Verstande (unter Begriffen), sondern
in der sinnlichen äußeren Anschauung (im Raume), und da sind die
physischen Örter, in Ansehung der inneren Bestimmungen der Dinge, ganz
gleichgültig, und ein Ort = b kann ein Ding, welches einem anderen
in dem Orte = a völlig ähnlich und gleich ist, ebensowohl aufnehmen,
als wenn es von diesem noch so sehr innerlich verschieden wäre. Die
Verschiedenheit der Örter macht die Vielheit und Unterscheidung der
Gegenstände, als Erscheinungen, ohne weitere Bedingungen, schon für
sich nicht allein möglich, sondern auch notwendig. Also ist jenes
scheinbare Gesetz kein Gesetz der Natur. Es ist lediglich eine
analytische Regel oder Vergleichung der Dinge durch bloße Begriffe."
210,"Zweitens, der Grundsatz: daß Realitäten (als bloße Bejahungen)
einander niemals logisch widerstreiten, ist ein ganz wahrer Satz von
dem Verhältnisse der Begriffe, bedeutet aber, weder in Ansehung der
Natur, noch überall in Ansehung irgendeines Dinges an sich selbst,
(von diesem haben wir keinen Begriff,) das mindeste. Denn der reale
Widerstreit findet allerwärts statt, wo A - B = 0 ist, d.i.# wo eine
Realität mit der anderen, in einem Subjekt verbunden, eine die Wirkung
der anderen aufhebt, welches alle Hindernisse und Gegenwirkungen in
der Natur unaufhörlich vor Augen legen, die gleichwohl, da sie auf
Kräften beruhen, realitates phaenomena genannt werden müssen. Die
allgemeine Mechanik kann sogar die empirische Bedingung dieses
Widerstreits in einer Regel a priori angeben, indem sie auf die
Entgegensetzung der Richtungen sieht: eine Bedingung, von welcher der
transzendentale Begriff der Realität gar nichts weiß. Obzwar Herr von
Leibniz diesen Satz nicht eben mit dem Pomp eines neuen Grundsatzes
ankündigte, so bediente er sich doch desselben zu neuen
Behauptungen, und seine Nachfolger trugen ihn ausdrücklich in ihre
Leibniz-Wolfianischen Lehrgebäude ein. Nach diesem Grundsatze sind z.
E. alle Übel nichts als Folgen von den Schranken der Geschöpfe, d.i.#
Negationen, weil diese das einzige Widerstreitende der Realität sind,
(in dem bloßen Begriffe eines Dinges überhaupt ist es auch wirklich
so, aber nicht in den Dingen als Erscheinungen). Imgleichen finden die
Anhänger desselben es nicht allein möglich, sondern auch natürlich,
alle Realität, ohne irgendeinen besorglichen Widerstreit, in einem
Wesen zu vereinigen, weil sie keinen anderen, als den des Widerspruchs
(durch den der Begriff eines Dinges selbst aufgehoben wird), nicht
aber den des wechselseitigen Abbruchs kennen, da ein Realgrund die
Wirkung des anderen aufhebt, und dazu wir nur in der Sinnlichkeit die
Bedingungen antreffen, uns einen solchen vorzustellen."
211,"Drittens, die Leibnizische Monadologie hat gar keinen anderen Grund,
als daß dieser Philosoph den Unterschied des Inneren und Äußeren bloß
im Verhältnis auf den Verstand vorstellte. Die Substanzen überhaupt
müssen etwas Inneres haben, was also von allen äußeren Verhältnissen,
folglich auch der Zusammensetzung, frei ist. Das Einfache ist also die
Grundlage des Inneren der Dinge an sich selbst. Das Innere aber ihres
Zustandes kann auch nicht in Ort, Gestalt, Berührung oder Bewegung,
(welche Bestimmungen alle äußere Verhältnisse sind,) bestehen, und
wir können daher den Substanzen keinen anderen inneren Zustand, als
denjenigen, wodurch wir unseren Sinn selbst innerlich bestimmen,
nämlich den Zustand der Vorstellungen, beilegen. So wurden denn die
Monaden fertig, welche den Grundstoff des ganzen Universum ausmachen
sollen, deren tätige Kraft aber nur in Vorstellungen besteht, wodurch
sie eigentlich bloß in sich selbst wirksam sind."
212,"Eben darum mußte aber auch sein Principium der möglichen Gemeinschaft
der Substanzen untereinander eine vorherbestimmte Harmonie, und konnte
kein physischer Einfluß sein. Denn weil alles nur innerlich, d.i.#
mit seinen Vorstellungen beschäftigt ist, so konnte der Zustand der
Vorstellungen der einen mit dem der anderen Substanz in ganz und gar
keiner wirksamen Verbindung stehen, sondern es mußte irgendeine dritte
und in alle insgesamt einfließende Ursache ihre Zustände einander
korrespondierend machen, zwar nicht eben durch gelegentlichen und
in jedem einzelnen Falle besonders angebrachten Beistand (systema
assistentiae), sondern durch die Einheit der Idee einer für
alle gültigen Ursache, in welcher sie insgesamt ihr Dasein
und Beharrlichkeit, mithin auch wechselseitige Korrespondenz
untereinander, nach allgemeinen Gesetzen bekommen müssen."
213,"Viertens, der berühmte Lehrbegriff desselben von Zeit und Raum, darin
er diese Formen der Sinnlichkeit intellektuierte, war lediglich aus
eben derselben Täuschung der transzendentalen Reflexion entsprungen.
Wenn ich mir durch den bloßen Verstand äußere Verhältnisse der Dinge
vorstellen will, so kann dieses nur vermittelst eines Begriffs
ihrer wechselseitigen Wirkung geschehen, und soll ich einen Zustand
ebendesselben Dinges mit einem anderen Zustande verknüpfen, so
kann dieses nur in der Ordnung der Gründe und Folgen geschehen. So
dachte sich also Leibniz den Raum als eine gewisse Ordnung in der
Gemeinschaft der Substanzen, und die Zeit als die dynamische Folge
ihrer Zustände. Das Eigentümliche aber, und von Dingen Unabhängige,
was beide an sich zu haben scheinen, schrieb er der Verworrenheit
dieser Begriffe zu, welche machte, daß dasjenige, was eine bloße Form
dynamischer Verhältnisse ist, für eine eigene für sich bestehende, und
vor den Dingen selbst vorhergehende Anschauung gehalten wird. Also
waren Raum und Zeit die intelligible Form der Verknüpfung der Dinge
(Substanzen und ihrer Zustände) an sich selbst. Die Dinge aber waren
intelligible Substanzen (substantiae noumena). Gleichwohl wollte
er diese Begriffe für Erscheinungen geltend machen, weil er der
Sinnlichkeit keine eigene Art der Anschauung zugestand, sondern alle,
selbst die empirische Vorstellung der Gegenstände, im Verstande
suchte, und den Sinnen nichts als das verächtliche Geschäft ließ, die
Vorstellungen des ersteren zu verwirren und zu verunstalten."
214,"Wenn wir aber auch von Dingen an sich selbst etwas durch den reinen
Verstand synthetisch sagen könnten, (welches gleichwohl unmöglich
ist,) so würde dieses doch gar nicht auf Erscheinungen, welche nicht
Dinge an sich selbst vorstellen, gezogen werden können. Ich werde also
in diesem letzteren Falle in der transzendentalen Überlegung meine
Begriffe jederzeit nur unter den Bedingungen der Sinnlichkeit
vergleichen müssen, und so werden Raum und Zeit nicht Bestimmungen der
Dinge an sich, sondern der Erscheinungen sein; was die Dinge an sich
sein mögen, weiß ich nicht, und brauche es auch nicht zu wissen, weil
mir doch niemals ein Ding anders, als in der Erscheinung vorkommen
kann."
215,"So verfahre ich auch mit den übrigen Reflexionsbegriffen. Die Materie
ist substantia phaenomenon. Was ihr innerlich zukomme, suche ich in
allen Teilen des Raumes, den sie einnimmt, und in allen Wirkungen, die
sie ausübt, und die freilich nur immer Erscheinungen äußerer Sinne
sein können. Ich habe also zwar nichts Schlechthin-, sondern lauter
Komparativ-Innerliches, das selber wiederum aus äußeren Verhältnissen
besteht. Allein, das schlechthin, dem reinen Verstande nach,
Innerliche der Materie ist auch eine bloße Grille; denn diese ist
überall kein Gegenstand für den reinen Verstand, das transzendentale
Objekt aber, welches der Grund dieser Erscheinung sein mag, die wir
Materie nennen, ist ein bloßes Etwas, wovon wir nicht einmal verstehen
würden, was es sei, wenn es uns auch jemand sagen könnte. Denn wir
können nichts verstehen, als was ein unseren Worten Korrespondierendes
in der Anschauung mit sich führt. Wenn die Klagen: Wir sehen das
Innere der Dinge gar nicht ein, so viel bedeuten sollen, als, wir
begreifen nicht durch den reinen Verstand, was die Dinge, die uns
erscheinen, an sich sein mögen; so sind sie ganz unbillig und
unvernünftig; denn sie wollen, daß man ohne Sinne doch Dinge erkennen,
mithin anschauen könne, folglich daß wir ein von dem menschlichen
nicht bloß dem Grade, sondern sogar der Anschauung und Art nach,
gänzlich unterschiedenes Erkenntnisvermögen haben, also nicht
Menschen, sondern Wesen sein sollen, von denen wir selbst nicht
angeben können, ob sie einmal möglich, viel weniger, wie sie
beschaffen sind. Ins Innere der Natur dringt Beobachtung und
Zergliederung der Erscheinungen, und man kann nicht wissen, wie weit
dieses mit der Zeit gehen werde. Jene transzendentalen Fragen aber,
die über die Natur hinausgehen, würden wir bei allem dem doch niemals
beantworten können, wenn uns auch die ganze Natur aufgedeckt wäre, da
es uns nicht einmal gegeben ist, unser eigenes Gemüt mit einer anderen
Anschauung, als der unseres inneren Sinnes, zu beobachten. Denn in
demselben liegt das Geheimnis des Ursprungs unserer Sinnlichkeit. Ihre
Beziehung auf ein Objekt, und was der transzendentale Grund dieser
Einheit sei, liegt ohne Zweifel zu tief verborgen, als daß wir, die
wir sogar uns selbst nur durch inneren Sinn, mithin als Erscheinung,
kennen, ein so unschickliches Werkzeug unserer Nachforschung dazu
brauchen könnten, etwas anderes, als immer wiederum Erscheinungen,
aufzufinden, deren nichtsinnliche Ursache wir doch gern erforschen
wollten."
216,"Was diese Kritik der Schlüsse, aus den bloßen Handlungen der
Reflexion, überaus nützlich macht, ist: daß sie die Nichtigkeit aller
Schlüsse über Gegenstände, die man lediglich im Verstande miteinander
vergleicht, deutlich dartut, und dasjenige zugleich bestätigt, was wir
hauptsächlich eingeschärft haben: daß, obgleich Erscheinungen nicht
als Dinge an sich selbst unter den Objekten des reinen Verstandes mit
begriffen sind, sie doch die einzigen sind, an denen unsere Erkenntnis
objektive Realität haben kann, nämlich, wo den Begriffen Anschauung
entspricht."
217,"Wenn wir bloß logisch reflektieren, so vergleichen wir lediglich
unsere Begriffe untereinander im Verstande, ob beide eben dasselbe
enthalten, ob sie sich widersprechen oder nicht, ob etwas in dem
Begriffe innerlich enthalten sei, oder zu ihm hinzukomme, und welcher
von beiden gegeben, welcher aber nur als eine Art, den gegebenen
zu denken, gelten soll. Wende ich aber diese Begriffe auf einen
Gegenstand überhaupt (im transz. Verstande) an, ohne diesen weiter zu
bestimmen, ob er ein Gegenstand der sinnlichen oder intellektuellen
Anschauung sei, so zeigen sich sofort Einschränkungen (nicht aus
diesem Begriffe hinauszugehen), welche allen empirischen Gebrauch
derselben verkehren, und eben dadurch beweisen, daß die Vorstellung
eines Gegenstandes, als Dinges überhaupt, nicht etwa bloß
unzureichend, sondern ohne sinnliche Bestimmung derselben, und,
unabhängig von empirischer Bedingung, in sich selbst widerstreitend
sei, daß man also entweder von allem Gegenstande abstrahieren (in
der Logik), oder, wenn man einen annimmt, ihn unter Bedingungen der
sinnlichen Anschauung denken müsse, mithin das Intelligible eine
ganz besondere Anschauung, die wir nicht haben, erfordern würde, und
in Ermanglung derselben für uns nichts sei, dagegen aber auch die
Erscheinungen nicht Gegenstände an sich selbst sein können. Denn,
wenn ich mir bloß Dinge überhaupt denke, so kann freilich die
Verschiedenheit der äußeren Verhältnisse nicht eine Verschiedenheit
der Sachen selbst ausmachen, sondern setzt diese vielmehr voraus,
und, wenn der Begriff von dem Einen innerlich von dem des Andern gar
nicht unterschieden ist, so setze ich nur ein und dasselbe Ding in
verschiedene Verhältnisse. Ferner, durch Hinzukunft einer bloßen
Bejahung (Realität) zur anderen, wird ja das Positive vermehrt, und
ihm nichts entzogen, oder aufgehoben; daher kann das Reale in Dingen
überhaupt einander nicht widerstreiten, usw."
218,"Die Begriffe der Reflexion haben, wie wir gezeigt haben, durch eine
gewisse Mißdeutung einen solchen Einfluß auf den Verstandesgebrauch,
daß sie sogar einen der scharfsichtigsten unter allen Philosophen zu
einem vermeinten System intellektueller Erkenntnis, welches seine
Gegenstände ohne Dazukunft der Sinne zu bestimmen unternimmt, zu
verleiten imstande gewesen. Eben um deswillen ist die Entwicklung der
täuschenden Ursache der Amphibolie dieser Begriffe, in Veranlassung
falscher Grundsätze, von großem Nutzen, die Grenzen des Verstandes
zuverlässig zu bestimmen und zu sichern."
